code	仕入先	品名	保管温度帯	仕入れ単位	棚卸し単位	標準棚卸し単位	最低仕入単位	内製_flg
1009	茂木さん	ピーマン	冷蔵	個	個	1	1	0
1010	茂木さん	小松菜	冷蔵	KG	KG	1	1	0
1011	茂木さん	カブ	冷蔵	個	個	1	1	0
1101	アツミ水産	ネギトロ	冷凍	KG	KG	1	1	0
1102	アツミ水産	バチカワラスキン	冷凍	KG	KG	1	1	0
1103	アツミ水産	銀鮭トリムC	冷凍	KG	KG	1	1	0
1104	アツミ水産	バナメイムキ 41/50	冷凍	KG	KG	1	1	0
1105	アツミ水産	明太子　(バラ子)	冷凍	KG	KG	1	1	0
								
1201	ハーツ	しめじ極小バラ１kg 三方	冷蔵	袋	袋	1	1	0
1202	ハーツ	えのき茸1kg	冷蔵	袋	袋	1	1	0
1203	ハーツ	えりんぎバラ500g 規格外	冷蔵	袋	袋	1	1	0
1204	ハーツ	まいたけ5kg	冷蔵	袋	袋	1	1	0
1205	ハーツ	白いしめじホワイティ20入	冷蔵	袋	袋	1	1	0
1206	ハーツ	大粒しめじ200g	冷蔵	袋	袋	1	1	0
1301	Qzero	ZproQ 特殊アルカリ電解水　20L	常温	箱	箱	1	1	0
1302	Qzero	ZproQ 特殊アルカリ電解水 【泡タイプ】20L	常温	箱	箱	1	1	0
		 						
1401	パン屋です	冷凍ふわふわフランス　(40個入)	冷凍	箱	箱	1	1	0
1402	パン屋です	冷凍ミニクロワッサン　　(40個入)	冷凍	箱	箱	1	1	0
1403	パン屋です	冷凍信州ミルクロール（40個入）	冷凍	箱	箱	1	1	0
1404	パン屋です	冷凍バジルロール（40個入）	冷凍	箱	箱	1	1	0
1405	パン屋です	冷凍胚芽ロール（40個入）	冷凍	箱	箱	1	1	0
								
1501	フーズネット長野	おなかにおいしいヨーグルト	冷蔵	個	個	1	1	0
1502	フーズネット長野	ハーモニー牛乳	冷蔵	本	本	1	1	0
								
1601	スタイルブレッド	ライスファイン	冷凍	袋	袋	1	1	0
1602	スタイルブレッド	A.O.Pバタークロワッサン	冷凍	袋	袋	1	1	0
